Geneid	gene_name	Foam_1	Foam_2	Foam_3	NonFoam_1	NonFoam_2	NonFoam_3
ENSMUSG00000038481.14	Cdk19	114	332	346	238	249	224
ENSMUSG00000038491.10	Cdk19os	0	0	0	5	0	0
ENSMUSG00000111251.2	Gm18671	3	0.50	0	1	1.50	1.50
ENSMUSG00000111108.2	Gm17795	27.50	13.50	19	32	33	20
ENSMUSG00000019834.16	Slc22a16	0	2	15	5	0	0
ENSMUSG00000063428.9	Ddo	0	0	1.50	11	3	2.25
ENSMUSG00000045555.4	Mettl24	0	1	0	0	1	3
ENSMUSG00000038446.9	Cdc40	638.60	691.00	527.20	623.20	704.00	810.00
ENSMUSG00002076954.1	Gm54942	0	0	0	0	1	0
ENSMUSG00000019831.15	Wasf1	0	0	0	7	0	0
ENSMUSG00000111098.2	Gm48057	0	0	0	1	1	0
ENSMUSG00000110889.2	Gm19611	1	0	1	1.33	0	0
ENSMUSG00000046922.8	Gpr6	0	2	0	1	1	0
ENSMUSG00000111576.2	Gm32284	0	0	0	3	0	1
ENSMUSG00000111587.2	Gm32338	0	0	0	1	0	0.20
ENSMUSG00000038417.5	Fig4	259	232	67	181	225	45
ENSMUSG00000119191.1	Gm25526	0	0	0	0	0	0
ENSMUSG00000091415.6	Ak9	1.60	0	0.60	10.40	4.40	2.60
ENSMUSG00000110822.2	Gm18305	0	16	7	2	1	0.50
ENSMUSG00000111601.2	Gm18986	0	0.50	1	4	4.50	2
ENSMUSG00000119364.1	Gm25626	0	0	0	1	0	1
ENSMUSG00000111315.2	Gm47473	0	0	0	0	0	0
ENSMUSG00002076974.1	Gm54946	0	0	0	0	0	0
ENSMUSG00000019826.12	Zbtb24	167.20	57	115	181.20	132.20	126
ENSMUSG00000019823.18	Mical1	141	198	133	273.50	153	118.50
ENSMUSG00000019822.13	Smpd2	451	336	308	293.50	360	221.50
ENSMUSG00000078451.6	Ppil6	0	2	8	1	0	1
ENSMUSG00000019818.16	Cd164	4129	2842	3824	3029	4375.50	5523.50
ENSMUSG00000075225.16	Ccdc162	0	3	3	18	4	4
ENSMUSG00000090708.2	Gm17196	0	0	0	0	0	2
ENSMUSG00000091370.2	5730435O14Rik	0	0	0	1	1	2
ENSMUSG00000093298.3	Mir3473b	0.40	0	0.20	0.60	0.20	0.20
ENSMUSG00000111376.2	Gm47099	1	0.50	0	0	0	0
ENSMUSG00000019813.17	Cep57l1	203.80	154.20	84.40	87.60	120.20	143.00
ENSMUSG00000102114.3	BC048559	6.90	5.20	6.40	6.00	3.05	3.70
ENSMUSG00000038332.14	Sesn1	598	412	653	606	799	851
ENSMUSG00000111131.2	9930024M15Rik	0	2	0	62	1	0
ENSMUSG00000071324.12	Armc2	160.50	158.70	102	113.00	6	16.20
ENSMUSG00000111103.3	1700016J18Rik	4.50	5.50	4	15	1	0
ENSMUSG00000120201.1	ENSMUSG00000120201	0.20	0	0	5.20	2.20	2.40
ENSMUSG00000085666.4	Tdg-ps2	25.58	11.53	1.67	6.83	7.97	5.42
ENSMUSG00000048756.12	Foxo3	1354	1372	1501	2311	1354	2151
ENSMUSG00000120659.1	ENSMUSG00000120659	0	3	0	0	2	0
ENSMUSG00002075014.1	Gm55081	0	0	0	0	1	0
ENSMUSG00000038302.15	Afg1l	76	62	116	132	32	95
ENSMUSG00000081873.2	Gm15197	0	0	0	0	0	0
ENSMUSG00000083429.3	Gm15198	167.83	178.41	150.50	65.17	126.16	245.75
ENSMUSG00002076135.1	Gm55092	0	0	0	2	0	0
ENSMUSG00000019804.13	Snx3	6207	3930	4191	2331	4656	7478.00
ENSMUSG00000019803.12	Nr2e1	1	0.20	0	6	3	0
ENSMUSG00000038280.13	Ostm1	1018	1215.50	1247	679.50	777.50	1015
ENSMUSG00000086434.2	Gm15200	19	4.50	10	2.50	15.50	16
ENSMUSG00000086428.2	Gm15199	0	0	0	1	1	0
ENSMUSG00000019802.14	Sec63	470	876	577	545	437.33	503.20
ENSMUSG00000087719.3	Gm26464	0	0	0	0	0	0
ENSMUSG00000044770.15	Scml4	0	0.20	1	8	3	3
ENSMUSG00000111293.2	Gm34006	1	0	0	2	1	0
ENSMUSG00000111086.2	Gm48671	0	0	0	1	0	0
ENSMUSG00000111333.2	Gm48670	0	0	0	1	0	0
ENSMUSG00000038248.9	Sobp	0	1	2	12	2	3
ENSMUSG00000111171.2	Gm47815	99.10	21.20	40.20	3	13.50	0
ENSMUSG00000099893.2	Gm29245	0	0	0	2	2	0
ENSMUSG00000102062.2	Gm29246	0	0	0	2	0	0
ENSMUSG00000045008.3	9030612E09Rik	0	0	0	3	1	1
ENSMUSG00000119988.1	ENSMUSG00000119988	10	1	5	1	0	60
ENSMUSG00000038240.14	Pdss2	73	24	36.50	7	120.70	67
ENSMUSG00000089673.2	Gm16546	0	0	0	0	0	0
ENSMUSG00000110903.2	Gm47857	1	1	0	0	0	1
ENSMUSG00000089839.2	Rps19-ps11	48.45	33.85	29.20	28.13	34.35	87.85
ENSMUSG00000110772.2	Gm47856	1	1	1.50	0	3.50	0
ENSMUSG00000094955.3	Gm3699	462.10	333.01	251.05	202.27	356.36	635.88
ENSMUSG00000038214.16	Bend3	0	9.50	3	18.50	4	39.33
ENSMUSG00000111368.2	Gm47889	0	0	0	0	0	0
ENSMUSG00000045886.8	Pam16l	213.50	134.50	64.50	105	164.50	212
ENSMUSG00000019797.12	Mtres1	984	608	707	680	517.50	758
ENSMUSG00000047139.10	Cd24a	228.33	319	242.00	329	342.33	40
ENSMUSG00000075184.5	F930017D23Rik	18.20	2	1.20	11.60	3.60	1.40
ENSMUSG00000111300.2	Rpl26-ps1	0	0	0	0	0	0
ENSMUSG00000111565.2	Gm34481	0	0	1	4	0	2
ENSMUSG00000111749.2	Gm47927	0	0	0	0	2	0
ENSMUSG00000111575.2	Gm47926	0	1	0	0	0.20	0.20
ENSMUSG00000111377.2	Gm40634	0	0	0	2	1	1
ENSMUSG00000111422.2	1700027J07Rik	1	0	0	3	3	2
ENSMUSG00000094852.4	Gm9034	40.80	32.35	40.65	15.53	24.70	39.05
ENSMUSG00000111342.2	4933404K13Rik	0	3	0	1	0	0
ENSMUSG00000019863.8	Qrsl1	196	186	252	288	133	197
ENSMUSG00000019864.15	Rtn4ip1	205.50	138.50	111	144.50	223.50	265
ENSMUSG00000019866.16	Crybg1	223.50	206.50	216	222.50	182	119
ENSMUSG00000075162.4	Gm10812	0	0	0	1	0.50	0
ENSMUSG00000111122.2	Gm5949	0	0	1	1	1	0
ENSMUSG00000111224.2	Gm18669	0	0	0	1	0	0
ENSMUSG00000091358.3	Speer5-ps1	1.40	1	0	3.20	1.20	2
ENSMUSG00000038160.8	Atg5	3516	2158	2773	1689	1721.00	2526.00
ENSMUSG00000089260.3	Mir1929	0	0	0	0	0	0
ENSMUSG00000111078.2	Gm35028	0	0	0	2	1	0
ENSMUSG00000038151.14	Prdm1	71	167	172	225	196	75
ENSMUSG00000111463.2	Gm48061	0.50	0	2.50	0	0.25	0
ENSMUSG00000111730.2	Gm5950	0.50	0.50	2.50	0	0.25	0
ENSMUSG00000088964.4	Gm22087	0	0	0	0.20	0	0
ENSMUSG00000111116.2	Gm48065	165.50	104.50	122.33	206.67	358.50	604.08
ENSMUSG00000111535.3	Gm35154	240.50	115.50	177.33	118.67	275.50	639.08
ENSMUSG00000111034.2	Gm48066	12	28	8.33	17.67	0	22.83
ENSMUSG00002074959.1	Gm55146	0	0	0	0	0	0
ENSMUSG00000111641.2	Gm47388	1	0	0	1	1	0
ENSMUSG00000111362.2	Gm47389	0	0	0	2	0	0
ENSMUSG00000111494.2	4930431F10Rik	0	0	0	0.20	4.50	1
ENSMUSG00000110893.2	Gm47392	0	0	0	2	5.50	3
ENSMUSG00000089608.4	Gm22503	0	0	0	0	0	0
ENSMUSG00000111868.2	Gm47398	76.17	58.89	48.45	41.40	45.22	102.91
ENSMUSG00000111671.2	Gm6983	75.97	58.89	48.45	39.40	44.42	102.91
ENSMUSG00000110898.2	Gm40638	0	9	0	0	0	0
ENSMUSG00002075202.1	Gm55148	0	0	0	0	0	0
ENSMUSG00000095168.2	Gm4795	68.60	49.27	52.33	22.20	46.70	59.20
ENSMUSG00000110891.2	Gm40639	0	0	0	0	0	0
ENSMUSG00000019849.12	Prep	355	327	335	379	256	352.90
ENSMUSG00002076691.1	Gm55149	0	0	0	0	0	0.25
ENSMUSG00000019848.15	Popdc3	0	0.20	0	3.40	0	0.20
ENSMUSG00000118733.2	Gm55150	0	0	0	0	0	0
ENSMUSG00000077591.3	Gm26016	0	0	0	0	0	0
ENSMUSG00000090088.2	Gm15934	0	0	0	2	0	0
ENSMUSG00000111526.2	Gm47433	0	0	0	2	0	0
ENSMUSG00000071317.5	Bves	0	3	0	4	6	1
ENSMUSG00000063804.9	Lin28b	3	1	0	7	1	3
ENSMUSG00002075193.1	Gm55152	0	0	0	0	0	0
ENSMUSG00000038822.16	Hace1	188	88	189	144	36	110.20
ENSMUSG00000111466.2	Gm47504	0	1	0	2	0	0
ENSMUSG00000111491.2	Gm47503	0	0	0	1	0	2
ENSMUSG00000111036.2	Gm47502	0	0	0	1	0	0
ENSMUSG00000110874.3	D030045P18Rik	1	0	1	1	2	4
ENSMUSG00002076863.1	Gm55181	0	0	0	0	0	0
ENSMUSG00000110841.3	Gpx4-ps2	5253.16	2811.33	2334.83	1643.50	2430.83	3998.50
ENSMUSG00000111182.2	Gm35430	0	0	0	1	0	0
ENSMUSG00000118904.1	Gm25740	0	0	0	1	0	0
ENSMUSG00000077361.3	Gm23481	0	0	0	0	0	0
ENSMUSG00000111754.2	Gm19994	0	0	0	0	0	0
ENSMUSG00000065718.3	Gm25650	0	0	0	0	0	0
ENSMUSG00000111499.2	Gm47562	0	0	0	0	0	0
ENSMUSG00000110843.3	Gm35552	0	0	0	0	0	0
ENSMUSG00000111419.2	Gm47568	0	0	0	0	0	0
ENSMUSG00000111057.2	Gm3442	0	0	0	0	0	0
ENSMUSG00000111719.2	Gm19137	0	0	0	0	0	0
ENSMUSG00000111072.2	Gm9068	0	0	0	0	0	0
ENSMUSG00000112702.2	Gm47571	0	0	0	0.40	0	0
ENSMUSG00000112917.2	Gm47331	0.20	0.40	0	2.25	0.60	1.00
ENSMUSG00000111911.2	Gm47332	0	0	0	0	0	0
ENSMUSG00000112062.2	Gm47353	0	0	0	0	0	0
ENSMUSG00002076715.1	Gm55183	0	0	0	0	0	0
ENSMUSG00000111262.2	Gm47354	0	0	0	0.90	0	0.20
ENSMUSG00000111585.2	Gm47355	0.20	0.40	0.20	2.00	0.80	0.80
ENSMUSG00000065630.4	Gm24256	0	0	0	0	0	0
ENSMUSG00000111436.2	Gm47356	0	0.80	0.20	3.40	0.20	0.40
ENSMUSG00000111581.2	Gm47364	0	0	0	0	0	0
ENSMUSG00000111900.2	Gm47377	0	0	0	0.40	0	0.20
ENSMUSG00000111704.2	Gm47379	0	0	0	2	0	0
ENSMUSG00000111298.2	Gm3473	0	0	0	0	0	0
ENSMUSG00000111433.2	Gm47378	0	1	0	0	0	0
ENSMUSG00000111486.2	Gm47380	0	0	0	0	0	0
ENSMUSG00000111374.2	Gm50490	0	0	0	0	0	0
ENSMUSG00000056073.17	Grik2	0	1	1	10.50	2	3
ENSMUSG00000112295.2	Gm47017	0	0	0	0	1	0
ENSMUSG00000097884.2	Gm26543	0	0	0	2.00	1.20	0
ENSMUSG00000112103.2	Gm47018	0	0	0	0	0	0
ENSMUSG00000111935.2	Gm47023	0.20	0	0	0.40	0	0
ENSMUSG00000112340.2	Gm47016	0	0	0	1	0	0
ENSMUSG00000112142.2	Gm47022	0	0	0	0.20	0	1
ENSMUSG00000111934.2	Gm48123	0	0	0	0	0	3
ENSMUSG00000110832.2	Gm48125	1	1	0	2	0	1
ENSMUSG00000111551.2	Gm48128	0.40	0.60	0.40	1.40	1.40	1.20
ENSMUSG00000110973.2	Gm48130	0	0	0	1	0	0
ENSMUSG00000111142.2	Gm48131	0	0	0	0	0	0
ENSMUSG00000112349.2	Gm48132	0.60	0.60	0.20	2.80	1.20	0.40
ENSMUSG00000112049.2	Gm48269	0	0	0	1.40	0.40	0.20
ENSMUSG00000112667.2	Gm48270	0	0.20	0.40	4.00	1.40	0.60
ENSMUSG00000110779.2	Gm48271	0.60	0.20	0.20	2.85	1.65	0.20
ENSMUSG00000110896.2	Gm48273	0.20	0.40	0.20	1.87	1.00	0.40
ENSMUSG00000110720.2	Gm46223	15.87	10.27	8.47	22.72	21.30	23.13
ENSMUSG00000111083.2	Gm48274	0	0	0.20	0.80	0	0.60
ENSMUSG00000111202.2	Gm48275	0	0.40	0.20	2.80	3.40	2.40
ENSMUSG00000112456.2	Gm6991	0	0	0	0	0	0
ENSMUSG00000112529.2	Gm46199	0	0	0	1	1	0
ENSMUSG00000038774.10	Ascc3	468	480	265	354.33	226.33	273.25
ENSMUSG00000112927.2	Gm48332	0	0	0	0	0	0
ENSMUSG00000112918.2	Gm18120	0	0	0	0	0	0
ENSMUSG00000112594.2	Gm48333	0	0	0	0	0	0
ENSMUSG00002074867.1	Gm55200	0	0	0	0	0	0
ENSMUSG00000019913.5	Sim1	0	0	0	2	5	0
ENSMUSG00000084449.3	Gm26257	0	0	0	0	0	0
ENSMUSG00000111880.2	Gm5040	67.80	52.25	49.00	30.80	54.40	79.30
ENSMUSG00000112212.2	Gm46189	7	0	1	0	1	2
ENSMUSG00000062593.18	Gm49339	51993.84	34255.52	35858.53	28245.66	38576.82	44403.23
ENSMUSG00000112023.2	Lilrb4b	70525.24	46299.61	49945.82	45922.51	54845.66	57661.75
ENSMUSG00000112766.2	Gm40645	4707.18	3270.82	3049.69	2391.25	3470.51	4009.44
ENSMUSG00000112148.2	Lilrb4a	52515.67	34591.11	36564.57	32842.33	42068.15	46279.08
ENSMUSG00000112031.2	Gm48484	0	0	0	0	0	0
ENSMUSG00000112843.2	Gm46224	65	11	38.70	110	142	95
ENSMUSG00000112226.2	Gm48786	9.60	0	0	1.00	0.40	9.10
ENSMUSG00000112645.2	Gm48787	0.33	0	0	0	0	0
ENSMUSG00000112244.2	Gm48788	0	0	0	0	1	0
ENSMUSG00000019909.5	Fam162b	0	0	0	0	0	0
ENSMUSG00000019905.9	Gprc6a	0	0	0	6	0	2
ENSMUSG00000112878.2	1700042O05Rik	0	0	0	0	0	0
ENSMUSG00000019900.20	Rfx6	0	0	0	1	2	0
ENSMUSG00000062224.7	4933411G06Rik	0	1	0	0	0	0
ENSMUSG00000112270.2	4930594A02Rik	0	0	0	0	0	0
ENSMUSG00000112337.2	Gm47614	0	0	0	0	0	0
ENSMUSG00000112659.2	Gm40646	0	0	0	1	0	0
ENSMUSG00000088198.3	Gm23906	0	0	0	0	0	0
ENSMUSG00000112557.2	Gm47626	0.40	0.20	0	1.80	2.20	0.80
ENSMUSG00000049641.16	Vgll2	0	0	0	3	0	0
ENSMUSG00002076609.1	Gm55243	0	0	0	1	0	0
ENSMUSG00000019893.14	Ros1	1	0	1	6	2	9
ENSMUSG00000093563.2	Gm20630	0	0	0	0	0	0
ENSMUSG00000093427.2	Gm18513	0	0	0	2	0	0
ENSMUSG00000019891.16	Dcbld1	1	1	0	11.20	4	0.20
ENSMUSG00000019861.16	Gopc	184	283.50	84	189	272	342
ENSMUSG00000112550.2	Gm6627	49.67	35.33	22.50	27.83	48.17	81.17
ENSMUSG00000097704.2	Gm26741	0	0.50	0	0	0	0
ENSMUSG00000112317.2	Gm47580	0	0	0	5	0	0
ENSMUSG00000089800.2	Rps19-ps10	288.70	174.71	137.97	171.01	225.26	486.89
ENSMUSG00000038624.14	Nepn	0	0	0	2	0	0
ENSMUSG00000023068.17	Nus1	1196.50	1190	1274	850.50	1077	880.20
ENSMUSG00000112563.2	Gm47608	0	0	0	1	0.20	0
ENSMUSG00000112361.2	Gm47607	0	0	0	0	0	0
ENSMUSG00000112464.2	Gm47609	0	0	0	0	0	0
ENSMUSG00000111887.2	Gm47610	0	0	0	0	0	0
ENSMUSG00000112149.2	Gm47611	0	0.40	0.20	3.50	0.60	0.60
ENSMUSG00000112791.2	Gm47612	0	0.20	0	3.35	0.40	0
ENSMUSG00000049576.7	Zfa-ps	17.50	13.50	31	50	38	10
ENSMUSG00000112552.2	Gm36065	0	0	0	1	1	1
ENSMUSG00000038602.8	Slc35f1	0	0	0	5.20	1.40	0
ENSMUSG00000111918.2	Gm47624	0	0	0	7	5	1.20
ENSMUSG00000112257.2	Gm47623	0	0	0	0	0	0
ENSMUSG00000112576.2	Gm47621	0.20	0	0.20	2.20	0.20	1.20
ENSMUSG00002076720.1	Gm55397	0	0	0	1	0	0
ENSMUSG00000112681.2	Gm47622	0	0	0	3	0	0
ENSMUSG00000112376.2	Gm40649	0	0	0	1	0	2
ENSMUSG00000112853.2	Gm47637	0	0	1	0	0	0
ENSMUSG00000112835.2	Gm36173	0	0	0	1	0	0
ENSMUSG00000038594.10	Cep85l	18	8	66	59.20	103.70	206
ENSMUSG00000112709.2	Gm19395	0	0	0	1	0	0
ENSMUSG00000112239.2	Gm17823	503.50	328	366.33	214.50	227	305
ENSMUSG00000038583.14	Pln	0	0	0	1	1.50	0
ENSMUSG00000112734.2	Gm47644	0	0	3	0	0.50	0
ENSMUSG00000111892.2	Gm47641	0	0	0	2	1	0.20
ENSMUSG00000120431.1	ENSMUSG00000120431	0	0	0	0	1	0
ENSMUSG00000112132.2	Gm36229	0	0	0	2	0	0
ENSMUSG00000056219.8	Tmem229b-ps	0	0.50	3	1.50	0	1
ENSMUSG00000112733.2	Gm40650	1.20	0	0	1	1.20	0
ENSMUSG00000112739.2	Gm20597	1	0	0	2	1	0
ENSMUSG00000112440.2	Gm47722	1	0	0	0	0	0
ENSMUSG00000058298.11	Mcm9	95.50	87	42.50	119	193.50	179.50
ENSMUSG00000112530.2	Gm47738	0.10	0.40	0	1.10	0	0.70
ENSMUSG00000112731.2	Gm47739	0.10	0.20	0	1.10	0.40	0.50
ENSMUSG00000112634.2	Gm47737	0	0	0	0	0	0
ENSMUSG00000019857.8	Asf1a	14.50	47	14.50	8	2.50	96.50
ENSMUSG00000112332.2	4930466K18Rik	0	0	0	1	2	0
ENSMUSG00000019856.15	Fam184a	0	0.20	0.40	4.20	1.20	1.20
ENSMUSG00000112809.2	Gm47915	0	0	0	0	0	1
ENSMUSG00000003746.17	Man1a	994.50	1378	1027	1578	1622	1865
ENSMUSG00000112824.2	Gm47917	0	0	0	1	5.20	96
ENSMUSG00000097069.2	Gm16998	4.50	4	4	3	39	33
ENSMUSG00000112013.2	Gm47967	0	0	0	0.40	0.20	0
ENSMUSG00000112516.2	Gm47968	1	1	0.20	2.00	1.30	0
ENSMUSG00000119760.1	Gm26177	0	0	0	0	0	0
ENSMUSG00000112882.2	Gm47970	0	0	0	1	0	0
ENSMUSG00000088987.3	Gm25602	0	0	0	0	0	0
ENSMUSG00000112575.2	Gm31849	16	16	14	7.50	16.50	22
ENSMUSG00000112755.2	Gm46190	0	2	3	1	1	1
ENSMUSG00000038122.10	Tbc1d32	58	79	71	163.20	78	75
ENSMUSG00000112528.2	Gm29794	0	0	0	1	0	0
ENSMUSG00000047669.9	Msl3l2	23	4	19	2	35	12
ENSMUSG00000071303.5	Rps8-ps1	323.35	290.70	219.98	175.85	214.33	478.03
ENSMUSG00000050953.11	Gja1	7	10	12	10	38	18
ENSMUSG00000112833.2	Gm36595	1	0.50	0	2	1	0
ENSMUSG00000112175.2	4930452L12Rik	0	0	0	0	0	1
ENSMUSG00000112825.2	Gm9118	849.64	739.74	759.06	553.10	745.56	1200.67
ENSMUSG00000045048.8	Gm9795	16.50	28	23	21.50	36.50	16
ENSMUSG00000112191.2	Gm31931	0	0	0	0	0	0
ENSMUSG00000112837.2	Gm48053	0	0	0	0	0	0
ENSMUSG00000112327.3	Gm36827	0	0	0	1	0	0
ENSMUSG00000112345.2	Gm40652	0	0	0	0	0	0
ENSMUSG00000088253.4	Gm24285	0	0	0	0	0	0
ENSMUSG00000112217.2	Gm48055	0	0	0	0	0	0
ENSMUSG00000111954.2	Gm7001	0	0	0	0	0	0
ENSMUSG00000111969.2	Gm9129	0	0	1	0	2	2
ENSMUSG00000111988.2	Gm19256	0	1	0	0	0	0
ENSMUSG00000097370.3	4930467K11Rik	0	0	0	0	0	0
ENSMUSG00000019878.9	Hsf2	995.90	684	884.20	981	927.20	1289.50
ENSMUSG00000019877.11	Serinc1	7737.20	6017.20	7777	6033.20	6161	7733.80
ENSMUSG00000093406.2	Rpl48-ps1	4.00	4.67	4.33	3.67	4.67	7.33
ENSMUSG00000019876.16	Pkib	4960.87	5177.35	5129.17	1848.80	2560.28	4920.75
ENSMUSG00000093552.2	Gm5777	35.50	27.00	23.60	19.80	33.90	45.40
ENSMUSG00000019874.12	Fabp7	99	36	51	0	14	0
ENSMUSG00000019872.14	Smpdl3a	5544	4694	6422	1529	2277	3726
ENSMUSG00000058537.5	AW822073	0.40	3.07	0.40	8.82	1.55	0.80
ENSMUSG00000057216.7	Gm10807	0.20	0.98	0	3.15	1.60	0.60
ENSMUSG00000075046.8	Duxf3	0.40	1.78	0.40	10.25	3.60	1.85
ENSMUSG00000075045.5	Gm4981	0	0.20	0.20	1.80	0.20	0.40
ENSMUSG00000093601.3	Gm19459	0	0	0	1.20	0.40	0.40
ENSMUSG00000038039.14	Gcc2	434	438	738	477	593	714
ENSMUSG00000019920.19	Lims1	1988	1939.00	2175.00	3820.00	2262	2963
ENSMUSG00000070214.3	Gm23058	0	0	1	0	0	1
ENSMUSG00000120958.1	ENSMUSG00000120958	0	0	0	0	4	3
ENSMUSG00000003226.8	Ranbp2	612.53	646.70	645.20	635.70	448.80	727.53
ENSMUSG00000038010.10	Ccdc138	46.55	29.63	52.20	79.60	42.10	65.30
ENSMUSG00000112670.2	Gm18042	0	0	0	0	0	0
ENSMUSG00000003227.5	Edar	0	0	6	3	0	1
ENSMUSG00000091526.3	BB019430	1	0	0	1	1	2
ENSMUSG00002075731.1	Gm55493	0	0	0	0	0	0
ENSMUSG00000091731.2	Gm17542	0	0	0	0	0	0.25
ENSMUSG00000112424.2	Gm6494	2.50	3	3.50	11	2	2
ENSMUSG00000055958.4	Gm9987	0	0	0	2	1	0
ENSMUSG00000037990.19	Sh3rf3	0	2	0	4	3	1
ENSMUSG00002076965.1	Gm55496	0	0	0	0	1	0
ENSMUSG00000019917.11	Septin10	236	324	385	439	473	527
ENSMUSG00000088744.3	Gm23223	0	0	0	0	0	0
ENSMUSG00000118557.2	Gm53043	0	1	0	2	0	0
ENSMUSG00000098188.2	Sowahc	242	456	395	413	436	1303
ENSMUSG00000019916.15	P4ha1	1143	820	638	513	1069	1062
ENSMUSG00000069622.6	Gm10273	919.92	716.64	693.68	547.44	649.38	1012.66
ENSMUSG00000009646.14	Pla2g12b	0	0	0	0	1	0
ENSMUSG00000009654.5	Oit3	461	409	431	263	103	251
ENSMUSG00000009647.14	Mcu	1640	1257	1173	1705	1790	1818
ENSMUSG00000071280.3	Gm10322	0	0	0	3	0	1
ENSMUSG00000020111.16	Micu1	351	167	239	380	435	530
ENSMUSG00000090350.2	Gm17148	0	0	0	0	0	0
ENSMUSG00000091184.2	Gm17059	0	0	0	0	0	0
ENSMUSG00000091941.2	Gm7399	26.80	21.20	19.60	23.10	14.60	22.60
ENSMUSG00000118697.1	Gm23803	0	0	0	0	0	1
ENSMUSG00000112673.2	Gm7413	369.91	292.43	197.33	234.13	346.28	586.49
ENSMUSG00000120935.1	ENSMUSG00000120935	0	0	0	1	1	2
ENSMUSG00000020109.14	Dnajb12	459	450	310	286	391	406
ENSMUSG00000020108.5	Ddit4	3	2	0	8	4	5
ENSMUSG00000020107.11	Anapc16	992	704.15	723.40	372.20	567.80	1096.73
ENSMUSG00000044475.15	Ascc1	999	959	668	549	519	898
ENSMUSG00000058297.17	Spock2	0	0	1	8.20	6	3
ENSMUSG00000105468.3	Mir6906	0	0	0	0	0	0
ENSMUSG00000120321.1	Gm51802	0	0	0.33	1.25	0	1
ENSMUSG00000057337.15	Chst3	12	45.20	7	100	71	2
ENSMUSG00002076467.1	Gm55595	0	0	0	1	0	0
ENSMUSG00000004207.15	Psap	41960.50	36117.50	50867.00	13341.50	13344.50	17733.50
ENSMUSG00000012819.17	Cdh23	26.50	14.50	18.50	51.50	71.50	148.50
ENSMUSG00000020101.15	Vsir	3842	2683	2389	1699	1994	3068
ENSMUSG00000120804.1	ENSMUSG00000120804	24.50	41	11	21.50	26.50	104.50
ENSMUSG00000090439.4	Gm17455	9	0	0	0	0	1
ENSMUSG00000020100.16	Slc29a3	959.12	1525.87	1171.40	512.07	338.23	1025.90
ENSMUSG00000020099.9	Unc5b	0	0	20	7	7	3
ENSMUSG00000112592.2	Gm19972	0	2	1	9	4	1
ENSMUSG00000099279.3	Mir6408	0	0	0	0	0	0
ENSMUSG00000037247.4	Pldi	0	0	0	1.50	0	16
ENSMUSG00000098055.3	Gm26947	43.60	0.20	1.60	9.10	1.20	2.00
ENSMUSG00000080526.3	Mir466j	0	0	0	0	0	0
ENSMUSG00000093568.2	Gm20611	0	0	0	5	2	0
ENSMUSG00000093489.2	Gm20625	0.20	1.20	0	1.20	0	0
ENSMUSG00000093573.2	Gm20610	0	0	1	1	0	4
ENSMUSG00000020098.8	Pcbd1	0	1	0	1	21	0
ENSMUSG00000020097.15	Sgpl1	2633	2674	2977	1766.53	1651	2172
ENSMUSG00002076247.1	Gm55864	0	0	0	0	0	0
ENSMUSG00000020096.22	Tbata	0	1	0	3	0	0
ENSMUSG00000059901.13	Adamts14	0	1	1	9	2	3
ENSMUSG00000037202.7	Prf1	0	1	0	5	0	0
ENSMUSG00000061488.6	Rpl27a-ps1	101.63	49.88	48.38	35.70	82.98	152.63
ENSMUSG00000020092.10	Pald1	170	154	105	326	108	208
ENSMUSG00000112256.2	Gm48077	0.40	1.20	2.20	3.40	1	4
ENSMUSG00000112875.2	Gm48074	0	1	0	2	0	0
ENSMUSG00000037171.7	Nodal	0	2	0	2	0	2
ENSMUSG00000020091.16	Eif4ebp2	118	63.50	264.50	257	81.50	367
ENSMUSG00000112229.2	Gm48086	0.40	0	0	3.40	2.00	0.40
ENSMUSG00000043126.6	D830039M14Rik	0	0	4.50	5	1.50	2
ENSMUSG00000037151.9	Lrrc20	52	56.50	63.50	9	3	76
ENSMUSG00000112080.2	Gm47595	0	0	0	0	1	0
ENSMUSG00000112058.2	Gm47593	0	1	0	1	9	0
ENSMUSG00000112710.2	Gm17829	2	3	3	1	1	0
ENSMUSG00000112255.2	Gm47594	0.20	1.00	2	5.00	8.20	5.60
ENSMUSG00000101792.2	Gm28447	0	1	0	3	1	2
ENSMUSG00000020090.8	Npffr1	0	0	1	16	0	0
ENSMUSG00000020089.9	Ppa1	1087.50	541	706	550	396.50	1420.50
ENSMUSG00000112581.2	1700022H01Rik	0	0	0	2	1	0
ENSMUSG00000020088.11	Sar1a	1209	725	834	1061	832	1658
ENSMUSG00000020087.6	Tysnd1	39	49	55	71	13	65
ENSMUSG00000020085.16	Aifm2	120	246.50	82.50	293	135	69
ENSMUSG00000020086.7	Macroh2a2	5	3.50	10.50	25.50	30	0
ENSMUSG00000093017.3	Mir5108	0	0	0	0	0	0
ENSMUSG00000058806.16	Col13a1	1	1	0	10	2	2
ENSMUSG00000112574.2	Gm5750	15.10	10.50	9.60	10.40	10.47	19.10
ENSMUSG00000112018.2	Gm47919	0	2	0	1	0	1
ENSMUSG00000046687.7	Gm5424	162.50	157	174.50	129.50	592	481
ENSMUSG00000020083.14	Fam241b	0.50	8	0	4.50	1	2
ENSMUSG00000044312.5	Neurog3	0.50	0	1	4.50	0	0
ENSMUSG00000037031.11	Tspan15	0	5	0	14	5	2.20
ENSMUSG00000099185.3	Mir7662	0	0	0	0	0	0
